utm,lon,lat,presence
25SFD3,-31.1,39.7,0
25SFD4,-31.2,39.44,0
26SLH1,-28.7,38.58,0
26SLH4,-28.3,38.46,0
26SMH2,-28.05,38.66,0
26SMH4,-27.22,38.71,0
26SMJ2,-28.05,39.05,0
26SPF3,-25.11,36.97,0
26SPG1,-25.45,37.75,0
27VVL1,-22.52,63.79,0
27VVL3,-21.51,63.8,0
27VWL1,-20.49,63.8,0
27VWL2,-20.5,63.35,0
27VWL3,-19.48,63.79,0
27VWL4,-19.5,63.34,0
27VXL1,-18.49,63.78,0
27VXL2,-18.5,63.33,0
27WUM3,-23.58,65.57,0
27WUN3,-23.55,64.85,0
27WUP4,-23.6,66.02,0
27WVM1,-22.57,64.69,0
27WVM3,-21.52,64.7,0
27WVM4,-21.52,64.25,0
27WVN1,-22.63,65.59,0
27WVN2,-22.6,65.14,0
27WVN3,-21.54,65.59,0
27WVN4,-21.53,65.15,0
27WVP1,-22.69,66.48,0
27WVP2,-22.66,66.03,0
27WVP4,-21.55,66.04,0
27WWM1,-20.48,64.7,0
27WWM2,-20.48,64.25,0
27WWN1,-20.46,65.59,0
27WWN2,-20.47,65.15,0
27WWN3,-19.37,65.59,0
27WWN4,-19.4,65.14,0
27WWP4,-19.35,66.03,0
27WXM1,-18.45,64.68,0
27WXM2,-18.47,64.23,0
27WXN1,-18.42,65.57,0
27WXN2,-18.43,65.12,0
27WXP1,-18.38,66.47,0
27WXP2,-18.4,66.02,0
28SCA3,-16.5,32.4,0
28SDU1,-16,30,0
28VCR3,-17.52,63.78,0
28VDR1,-16.52,63.79,0
28WCS3,-17.55,64.68,0
28WCT3,-17.58,65.57,0
28WCT4,-17.57,65.12,0
28WCU4,-17.6,66.02,0
28WDS1,-16.57,64.69,0
28WDS2,-16.55,64.24,0
28WDS3,-15.52,64.7,0
28WDS4,-15.52,64.25,0
28WDT1,-16.63,65.59,0
28WDT2,-16.6,65.14,0
28WDT3,-15.54,65.59,0
28WDT4,-15.53,65.15,0
28WDU1,-16.69,66.48,0
28WDU2,-16.66,66.03,0
28WDU4,-15.55,66.04,0
28WES1,-14.48,64.7,0
28WET1,-14.46,65.59,0
28WET2,-14.47,65.15,0
29SMC3,-9.29,38.62,1
29SMD3,-9.29,39.52,1
29SMD4,-9.29,39.07,1
29SME4,-9.29,39.97,1
29SNA1,-8.72,36.82,1
29SNA3,-8.16,36.82,0
29SNB1,-8.72,37.72,1
29SNB2,-8.72,37.27,1
29SNB3,-8.15,37.72,1
29SNB4,-8.15,37.27,1
29SNC1,-8.71,38.62,1
29SNC2,-8.72,38.17,1
29SNC3,-8.14,38.62,1
